symbol,signal,entry_ts,entry_px,exit_ts,exit_px,exit_reason,is_leaps,hv_rank,strike,iv,iv_source,entry_premium,exit_premium,delta_entry,leverage,alloc,pyr_alloc,pyramided,pnl,closed
UNH,ema_cross,2024-11-08,587.524247576363,2024-12-12,514.7529402648519,ema_cross,False,75.9,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2400.0,0.0,False,-298.11,True
BAC,ema_cross,2025-01-08,44.60882038519801,2025-03-05,41.45027335067392,ema_cross,False,67.6,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2340.19,0.0,False,-166.57,True
COST,rsi_macd,2025-01-13,927.8839009408457,2025-01-17,923.9100722017832,ema_cross,True,18.6,880.0,0.25,eodhd_real,131.83,165.15,0.679,7.0,2495.95,0.0,False,627.72,True
NOW,rsi_macd,2025-01-16,211.70799999999997,2025-02-12,199.24999999999997,ema_cross,True,27.4,201.12,0.349,bs_hv,38.25,29.04,0.669,5.5,2744.55,0.0,False,-662.99,True
NFLX,rsi_macd,2025-01-22,99.80250000000001,2025-04-07,82.78449046074803,ema_cross,True,28.5,94.81,0.29,bs_hv,15.9,5.16,0.677,6.3,2895.1,0.0,False,-1955.79,True
DIS,rsi_macd,2025-01-24,109.94413794579172,2025-03-10,103.287733556461,ema_cross,False,37.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,3471.8,0.0,False,-211.5,True
JPM,rsi_macd,2025-03-03,258.6954861484153,2025-03-12,229.29833523475207,ema_cross,False,39.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2358.5,0.0,False,-268.85,True
UBER,ema_cross,2025-03-24,76.97,2025-04-08,69.31,ema_cross,False,71.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2163.27,0.0,False,-216.07,True
V,rsi_macd,2025-06-25,348.41597707524767,2025-08-01,342.10283082363344,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,1766.93,0.0,False,-32.71,True
MA,rsi_macd,2025-07-01,556.9911262854006,2025-07-17,551.4226070373104,ema_cross,False,98.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,1884.53,0.0,False,-19.59,True
PFE,rsi_macd,2025-08-06,23.85337985791893,2025-09-23,23.292804807293827,ema_cross,False,56.6,0.0,0.0,n/a,0.0,0.0,0.0,1.0,1756.17,0.0,False,-41.96,True
AAPL,ema_cross,2025-08-07,218.21598872880972,2026-01-14,259.24743933682106,ema_cross,True,21.1,205.0,0.274,eodhd_real,26.25,55.25,0.716,8.3,1873.07,1713.6,True,2011.7,True
MU,ema_cross,2025-08-12,124.57163953033267,2026-03-16,446.16,end_of_data,True,2.8,120.0,0.471,eodhd_real,20.7,321.88,0.659,6.0,2059.62,616.49,True,34921.4,True
CSCO,rsi_macd,2025-08-27,67.5484551724138,2026-03-16,78.92,end_of_data,False,33.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2469.9,2469.9,True,421.19,True
TSLA,rsi_macd,2026-01-23,447.43,2026-01-30,425.35,ema_cross,True,3.4,425.06,0.533,bs_hv,110.68,95.33,0.669,4.0,2238.66,0.0,False,-312.37,True
WFC,rsi_macd,2026-01-30,89.76876952149408,2026-02-23,88.17,ema_cross,True,10.6,85.0,0.307,eodhd_real,13.6,11.53,0.647,6.6,1124.46,0.0,False,-172.1,True
GE,rsi_macd,2026-02-02,305.15542431408124,2026-03-16,303.77,end_of_data,False,45.9,0.0,0.0,n/a,0.0,0.0,0.0,1.0,1348.45,0.0,False,-6.66,True
GOOGL,rsi_macd,2026-02-23,318.8255823461427,2026-03-04,302.6769687988652,ema_cross,True,18.2,305.0,0.364,eodhd_real,49.55,41.9,0.624,6.4,1031.14,0.0,False,-160.07,True
